dataset,method,n_test,img_size,n,m,gamma,steps,z_init_std,optimizer,lr,noise,psnr1,psnr2,psnr3,recon_error1,recon_error2,recon_error3
birds,lasso-wavelet,12,64,12288,400,0.01,,,sklearn,,random_bora,14.437,14.273,13.164,0.044044,0.048703,0.061746
birds,lasso-wavelet,12,64,12288,300,0.01,,,sklearn,,random_bora,13.262,13.325,13.573,0.061216,0.057789,0.057227
birds,lasso-wavelet,12,64,12288,200,0.01,,,sklearn,,random_bora,12.861,13.208,12.937,0.062717,0.057092,0.061554
birds,lasso-wavelet,12,64,12288,100,0.01,,,sklearn,,random_bora,12.657,12.384,12.101,0.064211,0.067086,0.072339
birds,lasso-wavelet,12,64,12288,50,0.01,,,sklearn,,random_bora,12.213,12.919,12.961,0.067916,0.055616,0.056991
birds,lasso-wavelet,12,64,12288,30,0.01,,,sklearn,,random_bora,11.697,12.243,12.38,0.074033,0.062505,0.065123
birds,lasso-wavelet,12,64,12288,20,0.01,,,sklearn,,random_bora,10.878,9.446,12.429,0.088913,0.12961,0.062394
,,,,,,,,,,,,,,,,,
birds,lasso-dct,12,64,12288,12288,0.01,,,sklearn,,random_bora,35.083,35.084,35.084,0.000325,0.000326,0.000325
birds,lasso-dct,12,64,12288,10000,0.01,,,sklearn,,random_bora,32.619,32.58,32.508,0.000585,0.00059,0.000601
birds,lasso-dct,12,64,12288,7500,0.01,,,sklearn,,random_bora,29.084,29.04,29.095,0.001344,0.001352,0.001348
birds,lasso-dct,12,64,12288,5000,0.01,,,sklearn,,random_bora,25.241,25.234,25.282,0.003292,0.003317,0.003273
birds,lasso-dct,12,64,12288,2500,0.01,,,sklearn,,random_bora,21.174,21.132,21.172,0.008465,0.008674,0.008615
birds,lasso-dct,12,64,12288,1000,0.01,,,sklearn,,random_bora,17.963,17.844,17.977,0.018637,0.018974,0.018444
birds,lasso-dct,12,64,12288,750,0.01,,,sklearn,,random_bora,17.067,17.123,17.217,0.022815,0.022533,0.022004
birds,lasso-dct,12,64,12288,500,0.01,,,sklearn,,random_bora,16.443,16.446,16.392,0.026312,0.026245,0.026575
birds,lasso-dct,12,64,12288,400,0.01,,,sklearn,,random_bora,15.884,15.7,15.498,0.030013,0.03142,0.032569
birds,lasso-dct,12,64,12288,300,0.01,,,sklearn,,random_bora,15.434,15.384,15.459,0.032958,0.033429,0.033139
birds,lasso-dct,12,64,12288,200,0.01,,,sklearn,,random_bora,14.546,14.448,14.886,0.039943,0.040872,0.036788
birds,lasso-dct,12,64,12288,100,0.01,,,sklearn,,random_bora,13.337,13.747,13.563,0.051225,0.047576,0.050692
birds,lasso-dct,12,64,12288,50,0.01,,,sklearn,,random_bora,11.647,12.137,11.381,0.079226,0.067399,0.081312
birds,lasso-dct,12,64,12288,30,0.01,,,sklearn,,random_bora,12.742,12.772,12.266,0.059568,0.05957,0.067224
birds,lasso-dct,12,64,12288,20,0.01,,,sklearn,,random_bora,12.311,11.758,10.753,0.069067,0.074442,0.091679
,,,,,,,,,,,,,,,,,
celeba,glow-adam,12,64,12288,12288,0,2000,0,adam,0.01,random_bora,35.709,,,0.000279,,
celeba,glow-adam,12,64,12288,10000,0,2000,0,adam,0.01,random_bora,34.894,,,0.000333,,
celeba,glow-adam,12,64,12288,7500,0,2000,0,adam,0.01,random_bora,33.614,,,0.000447,,
celeba,glow-adam,12,64,12288,5000,0,2000,0,adam,0.01,random_bora,31.749,,,0.000687,,
celeba,glow-adam,12,64,12288,2500,0,2000,0,adam,0.01,random_bora,28.999,,,0.001305,,
celeba,glow-adam,12,64,12288,1000,0,2000,0,adam,0.01,random_bora,25.73,,,0.002796,,
celeba,glow-adam,12,64,12288,750,0,2000,0,adam,0.01,random_bora,24.626,,,0.003637,,
celeba,glow-adam,12,64,12288,500,0,2000,0,adam,0.01,random_bora,23.509,,,0.004754,,
celeba,glow-adam,12,64,12288,400,0,2000,0,adam,0.01,random_bora,22.621,,,0.005758,,
celeba,glow-adam,12,64,12288,300,0,2000,0,adam,0.01,random_bora,21.869,,,0.006862,,
celeba,glow-adam,12,64,12288,200,0,2000,0,adam,0.01,random_bora,20.87,,,0.008957,,
celeba,glow-adam,12,64,12288,100,0,2000,0,adam,0.01,random_bora,18.703,,,0.014612,,
celeba,glow-adam,12,64,12288,50,0,2000,0,adam,0.01,random_bora,17.128,,,0.021512,,
celeba,glow-adam,12,64,12288,30,0,2000,0,adam,0.01,random_bora,15.684,,,0.029701,,
celeba,glow-adam,12,64,12288,20,0,2000,0,adam,0.01,random_bora,15.462,,,0.030436,,
