Dz,Dx,method
0.3,0.092834204,random-direction
0.3,0.12396363,random-direction
0.3,0.14350286,random-direction
0.3,0.1072314,random-direction
0.3,0.14134574,random-direction
0.3,0.10399096,random-direction
0.3,0.14166826,random-direction
0.3,0.08624556,random-direction
0.3,0.07329395,random-direction
0.3,0.1366705,random-direction
0.3,0.10824324,random-direction
0.3,0.09925487,random-direction
0.3,0.09294977,random-direction
0.3,0.116112195,random-direction
0.3,0.11625673,random-direction
0.3,0.1553354,random-direction
0.3,0.12741509,random-direction
0.3,0.09578858,random-direction
0.3,0.12779999,random-direction
0.3,0.09718961,random-direction
0.3,0.106216766,random-direction
