Dx,Dz,method
0.14096066,0.38,natural-direction
0.20774063,0.38,natural-direction
0.25227872,0.38,natural-direction
0.17028932,0.38,natural-direction
0.34407702,0.38,natural-direction
0.14280315,0.38,natural-direction
0.12862732,0.38,natural-direction
0.49739793,0.38,natural-direction
0.18628545,0.38,natural-direction
0.24915284,0.38,natural-direction
0.14157122,0.38,natural-direction
0.16187765,0.38,natural-direction
0.23950706,0.38,natural-direction
0.10240833,0.38,natural-direction
0.22544983,0.38,natural-direction
0.19106671,0.38,natural-direction
0.87856036,0.38,natural-direction
0.14743815,0.38,natural-direction
0.14124069,0.38,natural-direction
0.2061878,0.38,natural-direction
0.14107099,0.38,natural-direction
0.2634467,0.38,natural-direction
0.195357,0.38,natural-direction
0.18909258,0.38,natural-direction
0.40597764,0.38,natural-direction
0.20979594,0.38,natural-direction
0.18710499,0.38,natural-direction
0.19692692,0.38,natural-direction
0.16489887,0.38,natural-direction
0.12147618,0.38,natural-direction
0.55270386,0.38,natural-direction
0.12456684,0.38,natural-direction
0.23898447,0.38,natural-direction
0.14469066,0.38,natural-direction
0.23092851,0.38,natural-direction
0.27529573,0.38,natural-direction
0.2615861,0.38,natural-direction
0.12980647,0.38,natural-direction
0.18124487,0.38,natural-direction
0.15913586,0.38,natural-direction
0.2197666,0.38,natural-direction
0.5501714,0.38,natural-direction
0.21996604,0.38,natural-direction
0.15967703,0.38,natural-direction
0.25594473,0.38,natural-direction
0.32792747,0.38,natural-direction
0.1383814,0.38,natural-direction
0.28114885,0.38,natural-direction
0.1640611,0.38,natural-direction
0.21579942,0.38,natural-direction
0.21117795,0.38,natural-direction
0.1112039,0.38,natural-direction
0.09494813,0.38,natural-direction
0.18940307,0.38,natural-direction
0.23079504,0.38,natural-direction
0.18000004,0.38,natural-direction
0.16665585,0.38,natural-direction
0.18434352,0.38,natural-direction
0.2001069,0.38,natural-direction
0.22779685,0.38,natural-direction
0.19216049,0.38,natural-direction
0.14149578,0.38,natural-direction
0.22394574,0.38,natural-direction
0.21070646,0.38,natural-direction
0.17581305,0.38,natural-direction
0.1563497,0.38,natural-direction
0.15592472,0.38,natural-direction
0.19645862,0.38,natural-direction
0.21342656,0.38,natural-direction
0.11537023,0.38,natural-direction
0.244862,0.38,natural-direction
0.10296357,0.38,natural-direction
0.2464957,0.38,natural-direction
0.3092669,0.38,natural-direction
0.33113402,0.38,natural-direction
0.18490845,0.38,natural-direction
